id,firstName,lastName,address,aptNumber,city,state,country,zipcode,birthdate
A10AB01,John,Smith,123 Maple St,,Chicago,IL,USA,60601,1985-04-12
A11AC02,Sarah,Johnson,456 Oak Ave,,Denver,CO,USA,80203,1990-09-21
A12AD03,Michael,Brown,789 Pine Rd,7C,Austin,TX,USA,73301,1978-01-30
A13AE04,Emily,Davis,321 Birch Ln,5D,Seattle,WA,USA,98101,1994-06-14
A14AF05,David,Miller,654 Cedar St,,Portland,OR,USA,97201,1982-11-08
A15AG06,Jessica,Wilson,987 Walnut Ave,,Boston,MA,USA,02108,1988-03-25
A16AH07,Daniel,Moore,147 Aspen Way,,San Diego,CA,USA,92101,1992-07-19
A17AJ08,Amanda,Taylor,258 Elm St,,Nashville,TN,USA,37201,1986-02-02
A18AK09,Christopher,Anderson,369 Poplar Rd,,Columbus,OH,USA,43215,1975-10-17
A19AL10,Lauren,Thomas,159 Spruce Dr,,Madison,WI,USA,53703,1991-12-05
A20AM11,Matthew,Jackson,753 Fir St,,Boise,ID,USA,83702,1984-08-28
A21AN12,Olivia,White,852 Redwood Ave,,Sacramento,CA,USA,95814,1996-05-09
A22AP13,Andrew,Harris,951 Cypress Rd,14C,Atlanta,GA,USA,30303,1980-09-01
A23AQ14,Nicole,Martin,357 Palm St,,Tampa,FL,USA,33602,1989-04-18
A24AR15,Joshua,Thompson,468 Magnolia Ln,,Jacksonville,FL,USA,32202,1977-06-23
A25AS16,Rebecca,Garcia,579 Dogwood Dr,,Albuquerque,NM,USA,87102,1993-01-11
A26AT17,Brandon,Martinez,681 Willow Ave,,Phoenix,AZ,USA,85004,1985-07-30
A27AU18,Samantha,Robinson,792 Sycamore St,,Charlotte,NC,USA,28202,1990-02-14
A28AV19,Justin,Clark,894 Hickory Rd,,Raleigh,NC,USA,27601,1983-10-09
A29AW20,Hannah,Rodriguez,135 Alder Ln,,San Jose,CA,USA,95113,1995-12-27
A30AX21,Kevin,Lewis,246 Beech St,,Des Moines,IA,USA,50309,1979-03-06
A31AY22,Megan,Lee,357 Chestnut Ave,,San Mateo,CA,USA,94401,1987-08-15
A32AZ23,Eric,Walker,468 Linden Rd,,Ann Arbor,MI,USA,48104,1981-01-19
A33BA24,Victoria,Hall,579 Cottonwood Dr,,Boulder,CO,USA,80302,1994-09-03
A34BB25,Ryan,Allen,681 Juniper St,,Spokane,WA,USA,99201,1986-04-29
A35BC26,Laura,Young,792 Sequoia Ave,,Fresno,CA,USA,93721,1992-11-12
